"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","PRODOTTI1","Attività non finanziarie","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",35143.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",19468.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",19230,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",19255,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",19017.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",19053.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",18818.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",17097.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",16841.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",17026,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",16767.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",16576.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",16325.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",29974,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",30861.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",30028.8,,
